Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Mutiny,mutinyhq.com,"Mutiny operates as an artificial intelligence (AI)-based website conversion platform. It helps businesses increase their website conversions without the need for coding. It offers a range of features such as audience segmentation, content personalization, experience personalization, and more. The company was founded in 2018 and is based in San Francisco, California.",Horizontal applications,Series B,2022/04/20,71.63,"Bogomil Balkansky, Cowboy Ventures, Hack VC, Henrique Dubugras, Jaclyn Rice Nelson, John Kobs, Karen Appleton Page, Lauren Kolodny, Liquid 2 Ventures, Mark Leslie, Mathilde Collin, Michael Stoppelman, Paul Buchheit, Shan-Lyn Ma, Uncork Capital, Y Combinator, GTMFund, Sequoia Capital, Gaingels, Insight Partners, Tiger Global Management",600,50,,,,590,2023/10/04,United States,Social media & marketing content,x,,,
Regie.ai,regie.ai,"Regie.ai develops an artificial intelligence (AI) based platform for enterprise sales. The company's software blends language and artificial intelligence (AI) to create, test, and analyze personalized sales campaigns and offer sales, workplace, marketing, content management, outbound prospecting, inbound lead response, mid-cycle follow-up, and other solutions. It was founded in 2020 and is based in San Francisco, California.",Horizontal applications,Series A - II,2023/02/09,20.8,"Day One Ventures, Foundation Capital, South Park Commons, Scale Venture Partners, Khosla Ventures",14.29,6,,,,660,2023/10/04,United States,Social media & marketing content,x,,,
Cathie AI,cathie.ai,"Cathie AI operates as a video generation and analysis platform. The company offers a plug-and-play software as a service (SaaS) platform where one can create videos using artificial intelligence add logos, personalize content, and create videos. It primarily serves the video industry. The company was founded in 2019 and is based in California, Santa Monica.",Horizontal applications,Seed - IV,2023/11/20,11.65,"Axilor Accelerator, CoWrks Foundry, Venture Catalysts, The Centre for Innovation and Entrepreneurship, Chinaccelerator, SOSV, 100Unicorns, Atesian, Faad Network, JITO Incubation and Innovation Foundation, JPIN VCATS, Lead Angels, Mumbai Angels, Expert Dojo, Rockstud Capital, Global Emerging Markets, Pritt Investment Partners, Techstars NYC Accelerator",,0.12,,,,,2023/10/04,United States,Social media & marketing content,x,,,
Writer,writer.com,"Writer is an artificial intelligence (AI) platform that focuses on enterprise productivity across various business processes. The company offers solutions that enable content creation, data analysis, and the enforcement of AI guardrails, all tailored to specific enterprise needs. Its platform serves a range of sectors, including financial services, healthcare, electronic commerce, and technology. It was formerly known as Qordoba. It was founded in 2015 and is based in San Francisco, California.",Horizontal applications,Series B,2023/09/18,144.68,"MENA Venture Investments, Silicon Oasis Investments, Rincon Venture Partners, Upfront Ventures, Aspect Ventures, Broadway Angels, Michael Stoppelman, Paycheck Protection Program, Bonfire Ventures, Dtec Ventures, Alex MacCaw, Ankur Nagpal, Austin Rief, Camille Ricketts, Gradient Ventures, Insight Partners, Jack Altman, James Beshara, Julia Lipton, Lenny Rachitsky, Oliver Jay, Packy McCormick, Scott Belsky, The New Normal Fund, Todd & Rahul Angel Fund, Vivek Sodera, Accenture Ventures, Balderton Capital, ICONIQ Growth, Vanguard Accelerator, WndrCo",750,100,,,,910,2023/10/04,United States,Social media & marketing content,x,,,
Novus,novuswriter.ai,"Novus specializes in artificial intelligence solutions within the communication technologies domain. The company offers on-premise artificial intelligence (AI) platforms that help in sales, finance, customer support, and more, by providing customizable AI and large language model (LLM) solutions. Its products are primarily utilized by industries that require advanced data analysis and personalized customer interaction, such as the financial and insurance sectors. Novus was formerly known as NovusWriter. The company was founded in 2020 and is based in Boston, Massachusetts.",Horizontal applications,Incubator/Accelerator,2024/01/12,5.18,"MIT Sandbox Innovation Fund, Startup Wise Guys, Aegean Ventures, Inveo Ventures, Venture Lane, HackZone Scale Up Accelerator",,,,,,580,2023/10/04,United States,Social media & marketing content,x,,,
Copysmith,copysmith.ai,"Copysmith is a company that focuses on providing AI content solutions, operating primarily in the technology and ecommerce sectors. The company offers services such as generating high-quality, SEO optimized product content, managing product catalogs, and integrating with ecommerce tools and platforms. Copysmith primarily caters to the ecommerce industry. It was founded in 2020 and is based in San Francisco, California.",Horizontal applications,Seed VC,2021/04/21,10.1,"The Thiel Foundation, Harmony Venture Labs, PSG",,10,,,,540,2023/10/04,United States,Social media & marketing content,x,,,
Typeface,typeface.ai,"Typeface develops an enterprise-grade generative artificial intelligence (AI) application. The company assists all businesses in creating on-brand content. It was formerly known as Cortex6. The company was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Series B,2023/06/29,205,"Google Ventures, Lightspeed Venture Partners, M12, Menlo Ventures, Madrona Venture Group, Salesforce Ventures",1000,140,,,,780,2023/10/04,United States,Social media & marketing content,x,,,
Persado,persado.com,"Persado provides a motivational generative artificial intelligence (GenAI) platform. The company offers AI text content generation and decision solutions that enable marketing and e-commerce teams to easily create and deliver high-performing messages that engage customers across digital channels: email, web, and social. It serves retail, travel and hospitality, technology, and other industries. Persado was founded in 2012 and is based in New York, New York.",Horizontal applications,Incubator/Accelerator - II,2020/09/17,97.5,"Plug and Play Milan, Knuru Capital, Bain Capital Ventures, Upstream Telecommunications and Software Systems, Eastward Capital Partners, American Express Ventures, Citi Ventures, StarVest Partners, Goldman Sachs, Silicon Valley Bank, Lafayette Plug and Play Accelerator, Plug and Play Insurtech, Plug and Play Fintech Accelerator",270,,Spinoff / Spinout,2013/02/13,,510,2023/10/04,United States,Social media & marketing content,x,,,
Daydrm.ai,daydrm.ai,"Daydrm.ai specializes in AI-powered tools for the creative, strategy, and production sectors of the advertising industry. The company offers a suite of services that leverage large language models to generate creative ideas and advertising campaign concepts on-demand. Daydrm.ai's products are designed to assist agencies, brands, and studios in enhancing their creative outputs while ensuring the privacy and security of their data. It was founded in 2022 and is based in New York, New York.",Horizontal applications,,,,,,,,,,,2024/02/21,United States,Social media & marketing content,,,,
Contlo,contlo.com,"Contlo provides generative AI marketing solutions. The company offers a platform that enables businesses to leverage their own generative AI model to run and optimize end-to-end marketing, including personalized campaigns and automated customer journeys across various channels such as Email, SMS, WhatsApp, and social media. It serves sectors such as e-commerce and retail, healthcare, financial services, media and entertainment, gaming, and education. It was founded in 2021 and is based in Newark, Delaware.",Horizontal applications,Series A,2024/03/05,14.3,"Better Capital, Titan Capital, Arjun Vaidya, Better Capital, Giridhar Malpani, Harshil Mathur, Kae Capital, Shashank Kumar, Srinivas Anumolu, Varun Alagh, Varun Sadana, Varun Vohra, Vikram Khandpur",16.38,10,,,,700,2024/02/21,United States,Social media & marketing content,,,,
PromptArmor,promptarmor.com,"PromptArmor focuses on artificial intelligence (AI) based security and compliance. It offers services such as data exfiltration prevention, compliance and risk assessment, and adversarial input detection to ensure the safety and compliance of AI systems. The company primarily serves sectors that utilize large language models and handle customer data. PromptArmor was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2024/01/19,0.5,"Afore Capital, Y Combinator",,0.5,,,,480,2024/02/08,United States,Security,,,,
